year,yearcode,countryname,countrycode,co2_gasfuel_kt,co2_liquidfuel_kt,,
2005,YR2005,Afghanistan,AFG,330.03,861.745,,
2005,YR2005,Albania,ALB,22.002,3916.356,,
2005,YR2005,Algeria,DZA,61260.902,31077.825,,
2005,YR2005,American Samoa,ASM,,,,
2005,YR2005,Andorra,AND,0,575.719,,
2005,YR2005,Angola,AGO,1250.447,4737.764,,
2005,YR2005,Antigua and Barbuda,ATG,0,429.039,,
2005,YR2005,Argentina,ARG,82034.457,71858.532,,
2005,YR2005,Armenia,ARM,3065.612,982.756,,
2005,YR2005,Aruba,ABW,0,2720.914,,
2005,YR2005,Australia,AUS,43453.95,99416.037,,
2005,YR2005,Austria,AUT,18518.35,37729.763,,
2005,YR2005,Azerbaijan,AZE,18547.686,14649.665,,
2005,YR2005,"Bahamas, The",BHS,0,1822.499,,
2005,YR2005,Bahrain,BHR,14304.967,5375.822,,
2005,YR2005,Bangladesh,BGD,24744.916,10608.631,,
2005,YR2005,Barbados,BRB,29.336,1133.103,,
2005,YR2005,Belarus,BLR,38804.194,16530.836,,
2005,YR2005,Belgium,BEL,33762.069,52335.424,,
2005,YR2005,Belize,BLZ,0,421.705,,
2005,YR2005,Benin,BEN,0,2269.873,,
2005,YR2005,Bermuda,BMU,0,583.053,,
2005,YR2005,Bhutan,BTN,0,212.686,,
2005,YR2005,Bolivia,BOL,4514.077,6706.943,,
2005,YR2005,Bosnia and Herzegovina,BIH,693.063,3138.952,,
2005,YR2005,Botswana,BWA,0,1954.511,,
2005,YR2005,Brazil,BRA,38279.813,232099.098,,
2005,YR2005,British Virgin Islands,VGB,0,179.683,,
2005,YR2005,Brunei Darussalam,BRN,3285.632,1059.763,,
2005,YR2005,Bulgaria,BGR,6420.917,12929.842,,
2005,YR2005,Burkina Faso,BFA,0,1111.101,,
2005,YR2005,Burundi,BDI,0,146.68,,
2005,YR2005,Cabo Verde,CPV,0,440.04,,
2005,YR2005,Cambodia,KHM,0,2775.919,,
2005,YR2005,Cameroon,CMR,0,3197.624,,
2005,YR2005,Canada,CAN,184805.799,252520.621,,
2005,YR2005,Cayman Islands,CYM,0,473.043,,
2005,YR2005,Central African Republic,CAF,0,234.688,,
2005,YR2005,Chad,TCD,0,766.403,,
2005,YR2005,Channel Islands,CHI,,,,
2005,YR2005,Chile,CHL,15570.082,33853.744,,
2005,YR2005,China,CHN,85026.729,850868.678,,
2005,YR2005,Colombia,COL,14018.941,30964.148,,
2005,YR2005,Comoros,COM,0,139.346,,
2005,YR2005,"Congo, Dem. Rep.",COD,0,1239.446,,
2005,YR2005,"Congo, Rep.",COG,44.004,887.414,,
2005,YR2005,Costa Rica,CRI,0,5742.522,,
2005,YR2005,Cote d'Ivoire,CIV,3336.97,4165.712,,
2005,YR2005,Croatia,HRV,5427.16,12797.83,,
2005,YR2005,Cuba,CUB,1426.463,23721.823,,
2005,YR2005,Curacao,CUW,,,,
2005,YR2005,Cyprus,CYP,0,6464.921,,
2005,YR2005,Czechia,CZE,17641.937,21448.283,,
2005,YR2005,Denmark,DNK,10076.916,21330.939,,
2005,YR2005,Djibouti,DJI,0,414.371,,
2005,YR2005,Dominica,DMA,0,143.013,,
2005,YR2005,Dominican Republic,DOM,473.043,15515.077,,
2005,YR2005,Ecuador,ECU,894.748,26024.699,,
2005,YR2005,"Egypt, Arab Rep.",EGY,68679.243,79276.873,,
2005,YR2005,El Salvador,SLV,0,5837.864,,
2005,YR2005,Equatorial Guinea,GNQ,4382.065,1177.107,,
2005,YR2005,Eritrea,ERI,0,744.401,,
2005,YR2005,Estonia,EST,1829.833,1965.512,,
2005,YR2005,Eswatini,SWZ,0,649.059,,
2005,YR2005,Ethiopia,ETH,0,4338.061,,
2005,YR2005,Faroe Islands,FRO,0,722.399,,
2005,YR2005,Fiji,FJI,0,1026.76,,
2005,YR2005,Finland,FIN,8261.751,26589.417,,
2005,YR2005,France,FRA,93963.208,227973.723,,
2005,YR2005,French Polynesia,PYF,0,781.071,,
2005,YR2005,Gabon,GAB,278.692,1400.794,,
2005,YR2005,"Gambia, The",GMB,3.667,322.696,,
2005,YR2005,Georgia,GEO,2794.254,1866.503,,
2005,YR2005,Germany,DEU,178146.527,288149.193,,
2005,YR2005,Ghana,GHA,0,6094.554,,
2005,YR2005,Gibraltar,GIB,0,399.703,,
2005,YR2005,Greece,GRC,5390.49,50421.25,,
2005,YR2005,Greenland,GRL,0,608.722,,
2005,YR2005,Grenada,GRD,0,216.353,,
2005,YR2005,Guam,GUM,,,,
2005,YR2005,Guatemala,GTM,0,9570.87,,
2005,YR2005,Guinea,GIN,0,1826.166,,
2005,YR2005,Guinea-Bissau,GNB,0,212.686,,
2005,YR2005,Guyana,GUY,0,1437.464,,
2005,YR2005,Haiti,HTI,0,1925.175,,
2005,YR2005,Honduras,HND,0,6380.58,,
2005,YR2005,"Hong Kong SAR, China",HKG,4220.717,13663.242,,
