year,yearcode,countryname,countrycode,co2_gasfuel_kt,co2_liquidfuel_kt
2015,YR2015,Afghanistan,AFG,282.359,4741.431
2015,YR2015,Albania,ALB,62.339,3340.637
2015,YR2015,Algeria,DZA,78833.166,55562.384
2015,YR2015,American Samoa,ASM,,
2015,YR2015,Andorra,AND,0,465.709
2015,YR2015,Angola,AGO,1441.131,17080.886
2015,YR2015,Antigua and Barbuda,ATG,0,546.383
2015,YR2015,Argentina,ARG,98359.941,91623.662
2015,YR2015,Armenia,ARM,3773.343,821.408
2015,YR2015,Aruba,ABW,0,898.415
2015,YR2015,Australia,AUS,73809.376,117178.985
2015,YR2015,Austria,AUT,15749.765,30905.476
2015,YR2015,Azerbaijan,AZE,21950.662,11609.722
2015,YR2015,"Bahamas, The",BHS,0,2009.516
2015,YR2015,Bahrain,BHR,28261.569,3982.362
2015,YR2015,Bangladesh,BGD,48782.101,14701.003
2015,YR2015,Barbados,BRB,33.003,1140.437
2015,YR2015,Belarus,BLR,36266.63,16772.858
2015,YR2015,Belgium,BEL,31990.908,52683.789
2015,YR2015,Belize,BLZ,3.667,575.719
2015,YR2015,Benin,BEN,0,5060.46
2015,YR2015,Bermuda,BMU,0,557.384
2015,YR2015,Bhutan,BTN,0,458.375
2015,YR2015,Bolivia,BOL,7869.382,10124.587
2015,YR2015,Bosnia and Herzegovina,BIH,407.037,4257.387
2015,YR2015,Botswana,BWA,3.667,2519.229
2015,YR2015,Brazil,BRA,77241.688,317125.827
2015,YR2015,British Virgin Islands,VGB,0,212.686
2015,YR2015,Brunei Darussalam,BRN,4895.445,1646.483
2015,YR2015,Bulgaria,BGR,5944.207,11829.742
2015,YR2015,Burkina Faso,BFA,0,3197.624
2015,YR2015,Burundi,BDI,0,348.365
2015,YR2015,Cabo Verde,CPV,0,495.045
2015,YR2015,Cambodia,KHM,0,5559.172
2015,YR2015,Cameroon,CMR,942.419,6182.562
2015,YR2015,Canada,CAN,199946.842,269326.482
2015,YR2015,Cayman Islands,CYM,0,557.384
2015,YR2015,Central African Republic,CAF,0,293.36
2015,YR2015,Chad,TCD,0,902.082
2015,YR2015,Channel Islands,CHI,,
2015,YR2015,Chile,CHL,9119.829,44389.035
2015,YR2015,China,CHN,366949.356,1328664.11
2015,YR2015,Colombia,COL,23120.435,43959.996
2015,YR2015,Comoros,COM,0,168.682
2015,YR2015,"Congo, Dem. Rep.",COD,3.667,2636.573
2015,YR2015,"Congo, Rep.",COG,524.381,2357.881
2015,YR2015,Costa Rica,CRI,0,6439.252
2015,YR2015,Cote d'Ivoire,CIV,3861.351,5551.838
2015,YR2015,Croatia,HRV,4767.1,9024.487
2015,YR2015,Cuba,CUB,2390.884,26079.704
2015,YR2015,Curacao,CUW,275.025,6120.223
2015,YR2015,Cyprus,CYP,0,5727.854
